,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-01-25,819,1037,681,550,728,1104,1655,3475,9742,17489,32106,41822,38358,39657,43658,37605,31321,21740,12045,6343,4852,4427,2258,1774
2020-01-26,1217,1258,615,569,674,1257,2136,4201,9391,19310,34777,39571,42497,37841,36548,37840,28848,21605,12480,6568,4679,3365,2501,1401
2020-02-01,814,533,433,441,512,1094,1858,3383,8900,16654,27935,33750,37154,35974,41333,37117,33952,23875,12983,6828,4352,3312,2626,1716
2020-02-02,1118,863,688,835,642,1102,1551,3247,8569,18021,32461,38533,37498,38887,40077,39553,34323,23178,14168,9970,7289,2830,2146,1213
2020-02-09,1506,1217,900,717,764,1134,1945,3543,9284,19336,39908,47713,46503,45121,48258,41931,39855,25940,15561,7809,6053,3328,1685,1507
2020-02-10,1000,690,696,635,817,1131,2654,4508,8271,17077,33929,37947,41270,39423,41304,37788,28782,21699,15707,7962,6528,3363,2059,1842
2020-02-11,1232,1075,654,644,745,1175,1775,3982,8517,17465,32051,38232,38814,36192,39352,37165,31184,22196,16396,7233,4292,3451,1782,1378
2020-02-15,743,338,733,643,632,1074,2159,3889,8758,15843,27826,40040,38349,40141,43062,40815,32804,25350,12774,6881,4742,3960,2360,1434
2020-02-22,816,574,397,484,633,1109,1610,3741,9412,16046,32548,36511,41328,38989,39001,37366,30546,20962,12469,6384,4260,3956,2335,1134
2020-02-23,1316,821,564,488,509,989,1742,3792,10599,23544,47490,56933,56094,52908,60024,52327,50315,41192,23546,18952,7580,4706,2258,1451
2020-02-24,786,685,668,621,719,1050,2178,3459,9073,18823,41635,44910,44676,49142,48769,45030,39459,29543,16723,9239,4441,3639,1823,1424
2020-03-15,911,524,490,456,588,957,1912,3429,7927,14181,34387,39489,39165,40454,39635,36700,30690,20378,14740,7929,4819,2926,2237,1549
2020-03-18,919,793,692,684,744,1278,1985,3679,7452,13222,27130,37087,35696,36616,38900,34906,33860,27237,17615,10279,4745,3150,2519,1398
2020-03-20,812,776,590,571,832,1495,2278,4761,10181,16461,32702,40340,41909,46797,47742,44805,39778,37731,22585,13570,9149,4712,2593,2385
2020-03-21,1439,847,893,655,902,1786,2828,5268,11048,21201,38322,46158,50738,53184,48882,52426,50960,38434,26252,19471,12219,6240,3102,1906
2020-03-22,1088,1081,757,638,866,1260,1804,4011,9002,17766,35299,41976,48277,43360,43135,42900,41693,28997,16880,7846,5046,3704,2264,1444
2020-07-23,856,1023,1053,1338,2504,5684,5116,7829,18602,26569,32779,38691,38774,39871,40637,34654,29622,22524,14138,8599,5187,3653,2085,2154
2020-07-24,2169,1443,1059,1010,1002,1757,2805,5729,12580,25637,46269,57814,54368,53917,57039,51151,47825,34055,20387,11545,8561,4518,2501,1937
2020-07-25,1577,997,930,1134,950,1409,2572,3756,9511,18373,36051,41400,42142,42323,39302,38041,33146,23463,15153,8897,6553,3217,2158,2199
2020-08-08,873,1043,1642,688,943,1370,2781,4688,11442,17182,33719,36083,39535,39061,39545,37938,32944,25653,14740,8035,6865,3714,3181,2947
2020-08-09,1845,1681,1561,1986,1432,1949,3209,5313,11922,23751,42347,48352,49163,47669,48421,44252,38866,32047,18239,10297,7013,3632,2251,2393
2020-08-10,1853,1708,1419,1038,1075,1478,2505,5406,11787,22047,39045,42282,42245,43106,48934,42490,37720,26181,16181,8596,5143,3353,2519,2033
2020-08-11,1047,1237,1188,523,744,1350,2602,5047,9763,18191,35919,43802,45050,43765,43797,39744,31280,22902,14380,8266,4673,2945,2390,1999
2020-08-12,1340,770,1004,694,1222,1227,2311,5009,9901,16274,33452,40971,44306,37971,39320,37369,32144,25934,15846,7235,4810,3105,3051,2493
2020-08-13,1944,1331,1407,1041,1305,2003,2533,5061,11814,17723,32765,41607,42742,41797,41903,39393,34461,27088,18654,9259,4942,3688,2881,2048
2020-08-14,1510,1799,1522,1157,1389,1822,2978,4847,11808,20080,35214,43898,45052,42294,45829,44724,35207,27141,19837,10759,5286,3511,3399,2266
2020-08-15,2101,2134,875,939,1006,1818,2985,5733,11821,20331,36014,39288,44093,43687,41955,39696,34779,28079,16050,8875,6878,4130,3473,2381
2020-08-29,1390,2095,931,866,1028,1425,2309,3933,8465,16713,30462,33218,38926,37408,40191,36112,30052,25024,13634,7196,5391,3228,2936,2640
2020-09-13,2036,1544,1995,811,975,1155,2745,4516,9935,18075,35354,45403,46631,45692,42401,38076,35288,23343,14843,6268,3978,2844,1290,1231
2020-09-19,1969,1629,1564,1250,1270,1267,2258,5212,12508,22853,39728,49980,54889,53100,55165,51536,47034,36364,21207,9654,6648,3587,2830,3023
