,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-09-20,3020,1153,1035,1148,1038,1333,2246,4750,12329,27762,52232,62634,62415,59928,57561,56169,53633,43696,27754,15838,9126,4870,3093,2466
2020-09-21,2264,1518,786,759,953,1581,2828,6770,18094,38696,65573,77632,79151,80251,80813,76602,64520,60508,36431,20802,11893,7422,4010,2549
2020-10-18,1136,1096,662,853,797,1213,1904,4090,11827,24075,47768,62549,67181,57947,61297,58726,45613,35037,20454,8061,5100,3470,2632,1873
2020-10-24,1198,887,758,802,748,1689,2418,5754,15624,29745,48611,58665,61210,62755,65024,62430,57452,41752,21862,11329,8014,4200,3347,3000
2020-10-25,2295,1479,1133,1226,1070,1542,2728,7055,15530,32750,55335,61208,64966,64347,69391,60841,50154,34844,21888,9014,6044,3178,1727,1818
2020-10-31,1660,1981,1437,935,720,1310,2772,5983,16406,34042,54028,62996,70699,70181,71894,67053,61252,45266,25749,10614,8875,5348,3706,2941
2020-11-01,1964,1535,1557,1018,939,1722,3307,6986,20927,38723,66251,76369,82461,82172,82533,75147,59961,46039,25251,11666,6586,3821,3354,1891
2020-11-03,2503,1766,1501,2121,685,1098,2257,4515,13105,28667,56472,60610,66821,64276,66051,57732,46271,39993,21268,9161,7684,3341,2233,2312
2020-11-07,2205,1955,1679,1915,927,1015,2767,5985,16241,32055,57674,67623,70705,69132,71706,57481,48007,32610,18041,9724,6421,3191,2189,2529
2020-11-08,1946,1816,1935,956,674,1317,3167,7232,19029,41702,75075,89428,93673,90991,87944,81299,69784,44931,27058,10060,6446,3749,2614,1746
2020-11-14,2736,1752,1590,1413,1210,1792,3908,8511,21206,42434,67274,78951,86004,87144,89760,82727,68827,48618,27804,13031,9214,6397,3522,3075
2020-11-15,1981,1452,1329,1146,1015,1779,3413,8076,21120,48069,71115,83124,74863,79720,82306,68546,59564,43836,27545,11037,7256,4363,3144,2459
2020-11-21,1749,1352,1479,1600,1009,1267,2833,8054,20681,40954,64458,68399,82713,82935,75963,72414,70206,55494,31709,15367,10288,5911,3740,3374
2020-11-22,2780,2908,2290,1766,1642,2540,4106,9304,23274,51764,70819,85944,93281,92626,89542,87647,71914,54148,33171,19265,13245,5911,4117,2696
2020-11-23,1967,941,924,833,569,1586,3114,6818,18416,38829,63880,76460,74236,68682,68259,64322,53213,37908,21900,9220,6831,3822,2836,2360
2020-11-28,3808,3141,2823,3200,1165,1729,2923,5869,15215,29372,54079,65152,68461,70484,74121,64388,59256,36875,23233,10129,6887,4579,3528,4247
2020-11-29,4333,3114,2235,2918,1574,1510,2549,4998,11983,29313,48082,61370,64063,61122,65550,53484,47711,32058,17079,7816,6159,4016,2328,1729
