,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020/1/21,533,571,430,409,492,1049,2028,5077,7327,11974,20144,25754,26227,28335,32116,25050,21650,15043,8477,4948,3468,2752,1920,1362
2020/1/22,573,588,403,415,505,888,1944,3831,7790,13326,22938,29947,29361,28132,30173,27520,23802,15762,7695,4377,3964,3172,1877,1395
2020/1/23,1058,999,536,490,605,1084,1872,4357,7587,12940,20748,22410,19264,22524,24391,19389,14058,11002,8688,4136,2516,2253,1647,1537
2020/1/24,1515,886,817,448,527,893,2182,3926,6999,13488,22683,30091,30346,32680,38276,28290,28281,19328,11084,6340,3491,3257,2143,1422
2020/1/25,819,1037,681,550,728,1104,1655,3475,9742,17489,32106,41822,38358,39657,43658,37605,31321,21740,12045,6343,4852,4427,2258,1774
2020/1/26,1217,1258,615,569,674,1257,2136,4201,9391,19310,34777,39571,42497,37841,36548,37840,28848,21605,12480,6568,4679,3365,2501,1401
2020/1/27,674,679,662,482,639,1057,2069,4728,7440,15698,28718,34508,33131,35868,35908,29552,24302,19172,10342,5540,4130,3670,2184,1508
2020/1/28,1951,1467,1405,910,1133,2020,2565,4745,7502,13394,27505,34733,27710,23765,23988,18886,15253,10274,6432,4083,2992,2166,1393,1995
2020/1/29,1461,1422,1376,1425,1288,1433,1958,4720,7484,12951,23391,28440,29929,30621,32547,26325,23577,18088,9543,4276,2800,2934,1330,1033
2020/1/30,670,493,508,503,645,961,1731,3723,6251,12529,22002,27534,26721,27370,29169,27373,22062,16047,8050,4820,4120,2907,1622,1374
2020/1/31,784,835,479,491,494,1224,2021,4222,7381,12345,21389,25550,28498,26969,30960,24900,21209,16181,9507,6649,3063,2923,2152,1610
2020/2/1,814,533,433,441,512,1094,1858,3383,8900,16654,27935,33750,37154,35974,41333,37117,33952,23875,12983,6828,4352,3312,2626,1716
2020/2/2,1118,863,688,835,642,1102,1551,3247,8569,18021,32461,38533,37498,38887,40077,39553,34323,23178,14168,9970,7289,2830,2146,1213
2020/2/3,781,708,471,413,510,1165,2363,4276,9036,14650,25901,30840,30742,30340,34244,27956,22350,15708,10499,5591,3464,3039,1502,1243
2020/2/4,800,601,645,620,735,893,1847,4790,8669,11386,25440,31059,27667,27212,29359,27912,23641,17407,10321,5809,3388,3317,1582,1206
2020/2/5,781,527,462,410,486,961,2265,4550,7418,11245,20956,28836,32156,32537,30560,25911,22537,16896,8157,4831,4268,2794,1598,1656
2020/2/6,893,722,636,786,754,1430,2199,5563,8022,10898,21044,27234,26148,27466,29991,26932,21402,14323,9699,5521,3276,2926,1902,1481
2020/2/7,477,484,816,956,771,1189,2095,4611,8510,13403,21390,28196,26181,25292,27798,22078,20063,15744,9406,5688,3693,3048,2443,2585
2020/2/8,1163,962,807,523,1053,1264,1845,3435,8904,14536,24973,32238,35313,36452,43044,36544,30611,22776,12444,6675,3950,4905,2311,1619
2020/2/10,1000,690,696,635,817,1131,2654,4508,8271,17077,33929,37947,41270,39423,41304,37788,28782,21699,15707,7962,6528,3363,2059,1842
2020/2/11,1232,1075,654,644,745,1175,1775,3982,8517,17465,32051,38232,38814,36192,39352,37165,31184,22196,16396,7233,4292,3451,1782,1378
2020/2/12,1040,788,720,862,816,1229,2172,4734,7904,12208,21657,28089,29444,24173,30859,26488,22481,17755,9022,5009,3749,3492,2098,1857
2020/2/13,968,709,683,530,629,1064,1921,4328,5769,8601,16274,22384,23822,23079,24761,21394,21224,18895,8544,4065,3012,2441,1887,1572
2020/2/14,411,74,273,557,635,1083,1908,4250,7146,13757,22043,29612,29676,27730,29888,29549,24326,17486,9997,6493,3626,3300,2215,1809
2020/2/15,743,338,733,643,632,1074,2159,3889,8758,15843,27826,40040,38349,40141,43062,40815,32804,25350,12774,6881,4742,3960,2360,1434
2020/2/16,848,912,641,809,780,1300,1760,3453,7142,14860,32329,36958,34740,34810,34474,30408,26336,15597,11382,5419,4315,3025,1610,1032
2020/2/17,664,436,339,373,473,845,1897,4248,7140,14070,27663,39902,39458,37573,38942,34425,24768,17930,9086,4256,3543,3042,2565,2872
