timestamp,date,year,month,day,hour,all_area,area_強羅,area_桃源台,area_元箱根港,area_箱根町港,area_箱根湯本
2020-01-20 00:00,2020-01-20,2020,1,20,0,0,0,0,0,0,0
2020-01-20 01:00,2020-01-20,2020,1,20,1,0,0,0,0,0,0
2020-01-20 02:00,2020-01-20,2020,1,20,2,0,0,0,0,0,0
2020-01-20 03:00,2020-01-20,2020,1,20,3,0,0,0,0,0,0
2020-01-20 04:00,2020-01-20,2020,1,20,4,0,0,0,0,0,0
2020-01-20 05:00,2020-01-20,2020,1,20,5,0,0,0,0,0,0
2020-01-20 06:00,2020-01-20,2020,1,20,6,0,0,0,0,0,0
2020-01-20 07:00,2020-01-20,2020,1,20,7,0,0,0,0,0,0
2020-01-20 08:00,2020-01-20,2020,1,20,8,0,0,0,0,0,0
2020-01-20 09:00,2020-01-20,2020,1,20,9,0,0,0,0,0,0
2020-01-20 10:00,2020-01-20,2020,1,20,10,1013,0,0,0,0,1013
2020-01-20 11:00,2020-01-20,2020,1,20,11,639,485,154,0,0,0
2020-01-20 12:00,2020-01-20,2020,1,20,12,4355,0,0,4200,155,0
2020-01-20 13:00,2020-01-20,2020,1,20,13,8192,0,0,8192,0,0
2020-01-20 14:00,2020-01-20,2020,1,20,14,7570,0,0,7570,0,0
2020-01-20 15:00,2020-01-20,2020,1,20,15,6949,0,0,6949,0,0
2020-01-20 16:00,2020-01-20,2020,1,20,16,7207,0,0,6199,0,1008
2020-01-20 17:00,2020-01-20,2020,1,20,17,13034,0,0,3018,0,10016
2020-01-20 18:00,2020-01-20,2020,1,20,18,8137,0,0,468,0,7669
2020-01-20 19:00,2020-01-20,2020,1,20,19,4236,240,1,329,0,3666
2020-01-20 20:00,2020-01-20,2020,1,20,20,2970,499,13,142,0,2316
2020-01-20 21:00,2020-01-20,2020,1,20,21,2293,341,1,103,16,1832
2020-01-20 22:00,2020-01-20,2020,1,20,22,1498,397,0,153,37,911
2020-01-20 23:00,2020-01-20,2020,1,20,23,1145,441,4,121,31,548
2020-01-21 00:00,2020-01-21,2020,1,21,0,533,250,6,52,21,204
2020-01-21 01:00,2020-01-21,2020,1,21,1,571,274,0,60,17,220
2020-01-21 02:00,2020-01-21,2020,1,21,2,430,192,0,61,11,166
2020-01-21 03:00,2020-01-21,2020,1,21,3,409,213,0,27,20,149
2020-01-21 04:00,2020-01-21,2020,1,21,4,492,265,1,37,16,173
2020-01-21 05:00,2020-01-21,2020,1,21,5,1049,444,0,45,32,528
2020-01-21 06:00,2020-01-21,2020,1,21,6,2028,678,4,123,47,1176
2020-01-21 07:00,2020-01-21,2020,1,21,7,5077,700,62,405,157,3753
2020-01-21 08:00,2020-01-21,2020,1,21,8,7327,1695,191,807,26,4608
2020-01-21 09:00,2020-01-21,2020,1,21,9,11974,2802,408,1711,51,7002
2020-01-21 10:00,2020-01-21,2020,1,21,10,20144,4115,1250,3194,255,11330
2020-01-21 11:00,2020-01-21,2020,1,21,11,25754,4874,2249,4447,660,13524
2020-01-21 12:00,2020-01-21,2020,1,21,12,26227,3035,2955,5921,2190,12126
2020-01-21 13:00,2020-01-21,2020,1,21,13,28335,3728,3304,6755,2984,11564
2020-01-21 14:00,2020-01-21,2020,1,21,14,32116,4045,5265,7022,4146,11638
2020-01-21 15:00,2020-01-21,2020,1,21,15,25050,2645,2711,6904,2743,10047
2020-01-21 16:00,2020-01-21,2020,1,21,16,21650,2833,842,5348,1631,10996
2020-01-21 17:00,2020-01-21,2020,1,21,17,15043,1425,129,2939,969,9581
2020-01-21 18:00,2020-01-21,2020,1,21,18,8477,887,22,630,247,6691
2020-01-21 19:00,2020-01-21,2020,1,21,19,4948,637,2,322,129,3858
2020-01-21 20:00,2020-01-21,2020,1,21,20,3468,616,1,233,111,2507
2020-01-21 21:00,2020-01-21,2020,1,21,21,2752,537,5,118,55,2037
2020-01-21 22:00,2020-01-21,2020,1,21,22,1920,533,0,130,63,1194
2020-01-21 23:00,2020-01-21,2020,1,21,23,1362,497,0,118,20,727
2020-01-22 00:00,2020-01-22,2020,1,22,0,573,296,0,15,11,251
2020-01-22 01:00,2020-01-22,2020,1,22,1,588,176,4,119,13,276
2020-01-22 02:00,2020-01-22,2020,1,22,2,403,168,25,43,11,156
2020-01-22 03:00,2020-01-22,2020,1,22,3,415,232,2,31,15,135
2020-01-22 04:00,2020-01-22,2020,1,22,4,505,321,6,16,13,149
2020-01-22 05:00,2020-01-22,2020,1,22,5,888,514,0,32,16,326
2020-01-22 06:00,2020-01-22,2020,1,22,6,1944,485,5,233,54,1167
2020-01-22 07:00,2020-01-22,2020,1,22,7,3831,526,23,496,155,2631
2020-01-22 08:00,2020-01-22,2020,1,22,8,7790,1527,270,744,453,4796
2020-01-22 09:00,2020-01-22,2020,1,22,9,13326,3399,531,1332,608,7456
2020-01-22 10:00,2020-01-22,2020,1,22,10,22938,3924,1378,3108,1643,12885
2020-01-22 11:00,2020-01-22,2020,1,22,11,29947,6063,2514,5210,2333,13827
2020-01-22 12:00,2020-01-22,2020,1,22,12,29361,5178,2995,6219,2541,12428
2020-01-22 13:00,2020-01-22,2020,1,22,13,28132,3819,3293,6980,2983,11057
2020-01-22 14:00,2020-01-22,2020,1,22,14,30173,3777,3710,6501,4000,12185
2020-01-22 15:00,2020-01-22,2020,1,22,15,27520,3636,2379,6891,2963,11651
2020-01-22 16:00,2020-01-22,2020,1,22,16,23802,2977,1441,4822,1829,12733
2020-01-22 17:00,2020-01-22,2020,1,22,17,15762,1758,367,2448,1061,10128
2020-01-22 18:00,2020-01-22,2020,1,22,18,7695,930,32,565,302,5866
2020-01-22 19:00,2020-01-22,2020,1,22,19,4377,805,8,244,94,3226
2020-01-22 20:00,2020-01-22,2020,1,22,20,3964,751,16,290,74,2833
2020-01-22 21:00,2020-01-22,2020,1,22,21,3172,766,3,110,43,2250
2020-01-22 22:00,2020-01-22,2020,1,22,22,1877,829,0,104,23,921
2020-01-22 23:00,2020-01-22,2020,1,22,23,1395,667,0,87,46,595
2020-01-23 00:00,2020-01-23,2020,1,23,0,1058,604,0,84,36,334
2020-01-23 01:00,2020-01-23,2020,1,23,1,999,384,0,279,23,313
2020-01-23 02:00,2020-01-23,2020,1,23,2,536,263,0,63,19,191
2020-01-23 03:00,2020-01-23,2020,1,23,3,490,288,0,58,20,124
2020-01-23 04:00,2020-01-23,2020,1,23,4,605,386,0,40,18,161
2020-01-23 05:00,2020-01-23,2020,1,23,5,1084,658,3,74,25,324
2020-01-23 06:00,2020-01-23,2020,1,23,6,1872,467,4,178,98,1125
2020-01-23 07:00,2020-01-23,2020,1,23,7,4357,694,53,416,113,3081
2020-01-23 08:00,2020-01-23,2020,1,23,8,7587,1337,261,547,292,5150
2020-01-23 09:00,2020-01-23,2020,1,23,9,12940,2798,433,2440,569,6700
2020-01-23 10:00,2020-01-23,2020,1,23,10,20748,3742,1358,3038,1241,11369
2020-01-23 11:00,2020-01-23,2020,1,23,11,22410,4021,1727,3109,1169,12384
2020-01-23 12:00,2020-01-23,2020,1,23,12,19264,1926,1846,3504,1632,10356
2020-01-23 13:00,2020-01-23,2020,1,23,13,22524,2573,1436,4728,2645,11142
2020-01-23 14:00,2020-01-23,2020,1,23,14,24391,3002,1606,4995,2551,12237
2020-01-23 15:00,2020-01-23,2020,1,23,15,19389,3334,1236,3237,1597,9985
2020-01-23 16:00,2020-01-23,2020,1,23,16,14058,2947,520,2317,818,7456
2020-01-23 17:00,2020-01-23,2020,1,23,17,11002,1632,18,904,625,7823
2020-01-23 18:00,2020-01-23,2020,1,23,18,8688,1799,15,390,264,6220
2020-01-23 19:00,2020-01-23,2020,1,23,19,4136,532,22,169,194,3219
2020-01-23 20:00,2020-01-23,2020,1,23,20,2516,364,3,110,172,1867
2020-01-23 21:00,2020-01-23,2020,1,23,21,2253,597,5,118,54,1479
2020-01-23 22:00,2020-01-23,2020,1,23,22,1647,415,0,55,54,1123
2020-01-23 23:00,2020-01-23,2020,1,23,23,1537,433,0,107,54,943
2020-01-24 00:00,2020-01-24,2020,1,24,0,1515,356,0,75,50,1034
2020-01-24 01:00,2020-01-24,2020,1,24,1,886,156,0,8,40,682
2020-01-24 02:00,2020-01-24,2020,1,24,2,817,114,0,45,33,625
2020-01-24 03:00,2020-01-24,2020,1,24,3,448,146,1,7,26,268
2020-01-24 04:00,2020-01-24,2020,1,24,4,527,245,0,10,18,254
2020-01-24 05:00,2020-01-24,2020,1,24,5,893,469,0,15,13,396
2020-01-24 06:00,2020-01-24,2020,1,24,6,2182,475,5,143,188,1371
2020-01-24 07:00,2020-01-24,2020,1,24,7,3926,523,14,234,234,2921
2020-01-24 08:00,2020-01-24,2020,1,24,8,6999,1198,187,461,306,4847
2020-01-24 09:00,2020-01-24,2020,1,24,9,13488,3150,670,1517,401,7750
2020-01-24 10:00,2020-01-24,2020,1,24,10,22683,5487,1511,3171,1257,11257
2020-01-24 11:00,2020-01-24,2020,1,24,11,30091,6125,2570,5292,2233,13871
2020-01-24 12:00,2020-01-24,2020,1,24,12,30346,3742,3296,6707,2791,13810
2020-01-24 13:00,2020-01-24,2020,1,24,13,32680,3884,3820,8548,2986,13442
2020-01-24 14:00,2020-01-24,2020,1,24,14,38276,4210,9378,7256,3713,13719
2020-01-24 15:00,2020-01-24,2020,1,24,15,28290,4097,3072,6287,2009,12825
2020-01-24 16:00,2020-01-24,2020,1,24,16,28281,5125,1556,8166,1843,11591
2020-01-24 17:00,2020-01-24,2020,1,24,17,19328,3051,438,2981,761,12097
2020-01-24 18:00,2020-01-24,2020,1,24,18,11084,1754,155,660,96,8419
2020-01-24 19:00,2020-01-24,2020,1,24,19,6340,1012,4,506,83,4735
2020-01-24 20:00,2020-01-24,2020,1,24,20,3491,425,8,556,168,2334
2020-01-24 21:00,2020-01-24,2020,1,24,21,3257,515,0,361,171,2210
2020-01-24 22:00,2020-01-24,2020,1,24,22,2143,378,2,315,33,1415
2020-01-24 23:00,2020-01-24,2020,1,24,23,1422,380,0,167,40,835
2020-01-25 00:00,2020-01-25,2020,1,25,0,819,284,0,164,22,349
2020-01-25 01:00,2020-01-25,2020,1,25,1,1037,311,0,393,114,219
2020-01-25 02:00,2020-01-25,2020,1,25,2,681,282,0,38,18,343
2020-01-25 03:00,2020-01-25,2020,1,25,3,550,252,0,35,18,245
2020-01-25 04:00,2020-01-25,2020,1,25,4,728,328,0,160,13,227
2020-01-25 05:00,2020-01-25,2020,1,25,5,1104,604,1,36,22,441
2020-01-25 06:00,2020-01-25,2020,1,25,6,1655,408,4,237,79,927
2020-01-25 07:00,2020-01-25,2020,1,25,7,3475,410,58,468,155,2384
2020-01-25 08:00,2020-01-25,2020,1,25,8,9742,1388,267,1254,473,6360
2020-01-25 09:00,2020-01-25,2020,1,25,9,17489,2954,773,2186,1396,10180
2020-01-25 10:00,2020-01-25,2020,1,25,10,32106,5916,3367,4466,2587,15770
2020-01-25 11:00,2020-01-25,2020,1,25,11,41822,8095,6222,7147,3810,16548
2020-01-25 12:00,2020-01-25,2020,1,25,12,38358,5184,5998,7414,3726,16036
2020-01-25 13:00,2020-01-25,2020,1,25,13,39657,4974,5172,9073,4151,16287
2020-01-25 14:00,2020-01-25,2020,1,25,14,43658,5199,9124,9763,5737,13835
2020-01-25 15:00,2020-01-25,2020,1,25,15,37605,5451,4914,7798,3860,15582
2020-01-25 16:00,2020-01-25,2020,1,25,16,31321,4729,849,7754,3030,14959
2020-01-25 17:00,2020-01-25,2020,1,25,17,21740,3156,257,3615,1388,13324
2020-01-25 18:00,2020-01-25,2020,1,25,18,12045,1049,462,1095,260,9179
2020-01-25 19:00,2020-01-25,2020,1,25,19,6343,721,491,558,126,4447
2020-01-25 20:00,2020-01-25,2020,1,25,20,4852,503,472,333,116,3428
